key,sheet,buyer,supplier_excel,posting_date,amount_usd,channel,bank_label,pi_label,kind
XLS-HMA-001,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-04-01,2500000.0,Bank,BANK,PI1,goods
XLS-HMA-002,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-04-18,500000.0,Bank,BANK,PI1,goods
XLS-HMA-003,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-04-18,500000.0,Bank,BANK,PI2,goods
XLS-HMA-004,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-04-23,1000000.0,Bank,BANK,PI1,goods
XLS-HMA-005,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-05-08,500000.0,Bank,BANK,PI1,goods
XLS-HMA-006,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-05-12,881882.0,Bank,BANK,PI1,goods
XLS-HMA-007,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-05-12,1000000.0,Bank,BANK,PI2,goods
XLS-HMA-008,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-05-20,1000000.0,Bank,BANK,PI2,goods
XLS-HMA-009,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-05-30,500000.0,Bank,BANK,PI2,goods
XLS-HMA-010,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-04,500000.0,Bank,BANK,PI2,goods
XLS-HMA-011,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-05,975000.0,Bank,BANK,PI2,goods
XLS-HMA-012,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-13,900000.0,Bank,BANK,PI2,goods
XLS-HMA-013,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-13,400000.0,Bank,BANK,PI2,goods
XLS-HMA-014,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-20,485000.0,Bank,BANK,PI2,goods
XLS-HMA-015,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-06-24,1000000.0,Bank,BANK,PI3,goods
XLS-HMA-016,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-07-07,1000000.0,Bank,BANK,PI3,goods
XLS-HMA-017,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-07-09,250000.0,Bank,BANK,PI3,goods
XLS-HMA-018,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-07-11,250000.0,Bank,BANK,PI3,goods
XLS-HMA-019,Опл-Пост HMA,THE QUALITY AND FRESH MEAT MCHJ,HMA AGRO INDUSTRIES LIMITED,2025-07-16,250000.0,Bank,BANK,PI3,goods
