ci_number,lines,boxes,kg,agreed_total,docs_total,cash_difference,pi_refs
.0060158,1,2600,65000.0,0.0,159250.0,-159250.0,Специфкация №9
.0060410,1,2600,65000.0,0.0,159250.0,-159250.0,Специфкация №9
.0060481,1,2600,65000.0,0.0,159250.0,-159250.0,Специфкация №9
.0060545,1,2600,65000.0,0.0,182000.0,-182000.0,Специфкация №10
.0060621,1,2600,65000.0,0.0,182000.0,-182000.0,Специфкация №10
.0060622,1,2600,65000.0,0.0,182000.0,-182000.0,Специфкация №10
.0060631,1,2600,65000.0,0.0,182000.0,-182000.0,Специфкация №10
.0060632,1,2600,65000.0,0.0,182000.0,-182000.0,Специфкация №10
.0309626,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
.0309627,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
.0309631,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
.0309636,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
.0309644,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №3
.0309800,1,2555,63875.0,0.0,63875.0,-63875.0,Специфкация №6
.0309803,1,2555,63875.0,0.0,63875.0,-63875.0,Специфкация №6
.063364,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №8
.063559,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №7
.2364993,1,2600,65000.0,0.0,65000.0,-65000.0,Специфкация №5
.2364995,1,2600,65000.0,0.0,65000.0,-65000.0,Специфкация №5
.2368842,1,2600,65000.0,0.0,240500.0,-240500.0,Специфкация №2
.2368843,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
.2368848,1,2600,65000.0,0.0,58500.0,-58500.0,Специфкация №4
.2369734,1,2600,65000.0,0.0,156000.0,-156000.0,Специфкация №1
033/01,1,244,20874.8,0.0,87674.16,-87674.16,ВОЛКОВЫС№1
033/02,1,274,19965.4,0.0,105816.62,-105816.62,ВОЛКОВЫС№2
033/03,1,274,19977.2,0.0,105879.16,-105879.16,ВОЛКОВЫС№3
1118889635,3,4200,84000.0,378000.0,378000.0,0.0,FIR/25-26/28611-28616
1118889661,27,4440,84020.0,405679.16,405679.16,0.0,FIR/25-26/27482-27493
1118909177,39,4326,84018.0,373039.92,373039.92,0.0,FIR/25-26/28917-28925
1118909202,3,4200,84000.0,367920.0,367920.0,0.0,FIR/25-26/29639-29647
1119109072,39,4326,84018.0,346574.25,346574.25,0.0,FIR/25-26/24534-24545
1119109105,20,4242,84006.0,362764.75,362764.75,0.0,FIR/25-26/24534-24545
1119109170,27,4284,84012.0,365030.16,365030.16,0.0,FIR/25-26/27482-27493
1119109207,39,4326,84018.0,346574.25,346574.25,0.0,FIR/25-26/24534-24545
1119189094,39,4326,84018.0,375560.46,375560.46,0.0,FIR/25-26/29639-29647
1119299094,39,4326,84018.0,340272.9,340272.9,0.0,FIR/25-26/24126-24137
1119679124,39,4326,84018.0,340272.9,340272.9,0.0,FIR/25-26/24126-24137
1119679134,12,4200,84000.0,354900.0,354900.0,0.0,FIR/25-26/24126-24137
1119679193,12,4200,84000.0,354900.0,354900.0,0.0,FIR/25-26/24126-24137
1119679244,12,4200,84000.0,370860.0,370860.0,0.0,FIR/25-26/24534-24545
1119679342,10,4200,84000.0,370860.0,370860.0,0.0,FIR/25-26/24534-24545
1119679547,27,4284,84012.0,365030.16,365030.16,0.0,FIR/25-26/27482-27493
1119679599,15,4242,84006.0,379005.08,379005.08,0.0,FIR/25-26/27482-27493
1120721238,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
1120721255,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
1120721269,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
1120721321,40,4332,86400.0,441936.0,441936.0,0.0,FIR/26-27/31953-31967
1120771056,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
1121271144,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
1121271153,39,4212,84000.0,417480.0,417480.0,0.0,FIR/26-27/31247-31273
