contract,pi_ref,ci_number,ci_date,container,supplier,category,article,jargon,product_name,boxes,box_weight_kg,qty_kg,docs_price,docs_amount,agreed_price,agreed_amount,row_no,flags
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,15-17,БУЙИН,NECK,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,2,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,41,ИЧКИ СОН,TOPSIDE,140.0,20.0,2800.0,3.85,10780.0,3.85,10780.0,3,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,42,ЯБЛОЧКА,THICK FLANK / knuckle,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,4,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,44,ТАШКИ СОН,SILVER SIDE,196.0,20.0,3920.0,3.85,15092.0,3.85,15092.0,5,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,45,КОРС,RUMP STEAK,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,6,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,65,КУЛ,BLADE,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,7,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,105/106,МАЙДА КИЙМА ГУШТ,FOREQUARTER / FQ ROLL,322.0,20.0,6440.0,3.85,24794.0,3.85,24794.0,8,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5837374,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,63,КУЛ БУЙИН КИСМИ,CHUCK,118.0,20.0,2360.0,3.85,9086.0,3.85,9086.0,9,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,15-17,БУЙИН,NECK,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,10,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,41,ИЧКИ СОН,TOPSIDE,140.0,20.0,2800.0,3.85,10780.0,3.85,10780.0,11,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,42,ЯБЛОЧКА,THICK FLANK / knuckle,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,12,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,44,ТАШКИ СОН,SILVER SIDE,196.0,20.0,3920.0,3.85,15092.0,3.85,15092.0,13,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,45,КОРС,RUMP STEAK,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,14,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,65,КУЛ,BLADE,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,15,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,105/106,МАЙДА КИЙМА ГУШТ,FOREQUARTER / FQ ROLL,322.0,20.0,6440.0,3.85,24794.0,3.85,24794.0,16,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,EMCU5265545,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,63,КУЛ БУЙИН КИСМИ,CHUCK,118.0,20.0,2360.0,3.85,9086.0,3.85,9086.0,17,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5710501,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,18,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5710501,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,19,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5710501,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,20,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5710501,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,21,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5791493,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,22,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5791493,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,23,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5791493,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,24,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/104/202526,2025-04-21,FTIU5791493,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,25,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5250273,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,26,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5250273,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,27,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5250273,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,28,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5250273,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,29,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,SGLU5853382,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,30,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,SGLU5853382,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,31,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,SGLU5853382,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,32,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,SGLU5853382,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,33,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5260420,HMA AGRO INDUSTRIES LIMITED,TRIMING,66,ОБРЕСКА,TRIMING,856.0,20.0,17120.0,2.85,48792.0,2.85,48792.0,34,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,EMCU5260420,HMA AGRO INDUSTRIES LIMITED,HEAD MEAT,152,КАЛЛА ГУШТ,HEAD MEAT,544.0,20.0,10880.0,2.5,27200.0,2.5,27200.0,35,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/037/202526,2025-04-07,SGLU5713760,HMA AGRO INDUSTRIES LIMITED,TONGUE,25,ТИЛ,TONGUE,1400.0,20.0,28000.0,2.55,71400.0,2.55,71400.0,36,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,EGSU5012150,HMA AGRO INDUSTRIES LIMITED,STRIPLOIN,46,КỸНТР ФИЛЕ,STRIPLOIN,500.0,20.0,10000.0,4.2,42000.0,4.2,42000.0,37,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,EGSU5012150,HMA AGRO INDUSTRIES LIMITED,TONGUE,25,ТИЛ,TONGUE,400.0,20.0,8000.0,2.55,20400.0,2.55,20400.0,38,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,EGSU5012150,HMA AGRO INDUSTRIES LIMITED,TENDERLOIN,31,ВЫРИЗКА,TENDERLOIN,556.0,18.0,10008.0,5.15,51541.2,5.15,51541.200000000004,39,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,CGMU4983409,HMA AGRO INDUSTRIES LIMITED,TRIMING,66,ОБРЕСКА,TRIMING,1022.0,20.0,20440.0,2.85,58254.0,2.85,58254.0,40,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,CGMU4983409,HMA AGRO INDUSTRIES LIMITED,HEAD MEAT,152,КАЛЛА ГУШТ,HEAD MEAT,378.0,20.0,7560.0,2.5,18900.0,2.5,18900.0,41,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,ICSU5846205,HMA AGRO INDUSTRIES LIMITED,STRIPLOIN,46,КỸНТР ФИЛЕ,STRIPLOIN,689.0,20.0,13780.0,4.2,57876.0,4.2,57876.0,42,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/154/202526,2025-04-28,ICSU5846205,HMA AGRO INDUSTRIES LIMITED,BLADE,65,КУЛ,BLADE,711.0,20.0,14220.0,3.9,55458.0,3.9,55458.0,43,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,15-17,БУЙИН,NECK,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,44,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,41,ИЧКИ СОН,TOPSIDE,140.0,20.0,2800.0,3.85,10780.0,3.85,10780.0,45,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,42,ЯБЛОЧКА,THICK FLANK / knuckle,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,46,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,44,ТАШКИ СОН,SILVER SIDE,196.0,20.0,3920.0,3.85,15092.0,3.85,15092.0,47,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,45,КОРС,RUMP STEAK,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,48,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,65,КУЛ,BLADE,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,49,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,105/106,МАЙДА КИЙМА ГУШТ,FOREQUARTER / FQ ROLL,322.0,20.0,6440.0,3.85,24794.0,3.85,24794.0,50,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,MORU0609355,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,63,КУЛ БУЙИН КИСМИ,CHUCK,118.0,20.0,2360.0,3.85,9086.0,3.85,9086.0,51,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,15-17,БУЙИН,NECK,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,52,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,41,ИЧКИ СОН,TOPSIDE,140.0,20.0,2800.0,3.85,10780.0,3.85,10780.0,53,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,42,ЯБЛОЧКА,THICK FLANK / knuckle,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,54,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,44,ТАШКИ СОН,SILVER SIDE,196.0,20.0,3920.0,3.85,15092.0,3.85,15092.0,55,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,45,КОРС,RUMP STEAK,112.0,20.0,2240.0,3.85,8624.0,3.85,8624.0,56,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,65,КУЛ,BLADE,200.0,20.0,4000.0,3.85,15400.0,3.85,15400.0,57,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,105/106,МАЙДА КИЙМА ГУШТ,FOREQUARTER / FQ ROLL,322.0,20.0,6440.0,3.85,24794.0,3.85,24794.0,58,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,GESU9465359,HMA AGRO INDUSTRIES LIMITED,BUFFALO COMPENSATED,63,КУЛ БУЙИН КИСМИ,CHUCK,118.0,20.0,2360.0,3.85,9086.0,3.85,9086.0,59,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,EGSU5003879,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,60,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,EGSU5003879,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,61,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,EGSU5003879,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,62,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/151/202526,2025-04-28,EGSU5003879,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,63,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,CRLU1618592,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,64,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,CRLU1618592,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,65,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,CRLU1618592,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,66,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,CRLU1618592,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,67,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,FTIU5758017,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,41,ИЧКИ СОН,TOPSIDE,392.0,20.0,7840.0,3.95,30968.0,3.95,30968.0,68,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,FTIU5758017,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,42,ЯБЛОЧКА,THICK FLANK / knuckle,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,69,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,FTIU5758017,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,448.0,20.0,8960.0,3.95,35392.0,3.95,35392.0,70,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,FTIU5758017,HMA AGRO INDUSTRIES LIMITED,HQ CUTS,45,КОРС,RUMP STEAK,280.0,20.0,5600.0,3.95,22120.0,3.95,22120.0,71,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,FTIU5830390,HMA AGRO INDUSTRIES LIMITED,HEAD MEAT,152,КАЛЛА ГУШТ,HEAD MEAT,1400.0,20.0,28000.0,2.5,70000.0,2.5,70000.0,72,
HMA/MEAT04/2025,HMA/PI/2677/202425,MH/145/202526,2025-04-26,EGHU5009153,HMA AGRO INDUSTRIES LIMITED,TRIMING,66,ОБРЕСКА,TRIMING,1400.0,20.0,28000.0,2.85,79800.0,2.85,79800.0,73,
