contract,pi_ref,ci_number,ci_date,container,supplier,category,article,jargon,product_name,boxes,box_weight_kg,qty_kg,docs_price,docs_amount,agreed_price,agreed_amount,row_no,flags
FAEX/MEAT07/2025,FIR/25-26/24534-24545,1119109105,2025-08-25,ALLU4962381,FAIR EXPORTS (INDIA) PVT. LTD.,HQ CUTS,45,КОРС,RUMP STEAK,0.0,20.0,0.0,4.415,0.0,4.415,,1735,SERVICE_LINE
FAEX/MEAT07/2025,FIR/25-26/24534-24545,1119679342,2025-09-11,APRU5806063,FAIR EXPORTS (INDIA) PVT. LTD.,HQ CUTS,44,ТАШКИ СОН,SILVER SIDE,0.0,20.0,0.0,4.415,0.0,4.415,,1790,SERVICE_LINE
FAEX/MEAT07/2025,FIR/25-26/24534-24545,1119679342,2025-09-11,APRU5806063,FAIR EXPORTS (INDIA) PVT. LTD.,HQ CUTS,45,КОРС,RUMP STEAK,0.0,20.0,0.0,4.415,0.0,4.415,,1792,SERVICE_LINE
IN/MEAT03/2025,PRO/MEPL/0538/25-26,MEPL/P1025/2526,2026-02-04,,Mirha Exports Private limited,Freight and war risk,,,,,,,,10650.0,,,4130,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0024/26-27,MEPL/P0059/26-27,2026-04-07,,Mirha Exports Private limited,Freight and war risk,,,,,,,,13800.0,,,4536,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0024/26-27,MEPL/P0062/26-27,2026-04-18,,Mirha Exports Private limited,Freight and war risk,,,,,,,,16500.0,,,4576,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0024/26-27,MEPL/P0091/26-27,2026-04-27,,Mirha Exports Private limited,Freight and war risk,,,,,,,,16500.0,,,4616,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0015/26-27,2026-04-21,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4656,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0016/26-27,2026-04-21,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4696,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0017/26-27,2026-04-22,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4736,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0019/26-27,2026-04-25,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4776,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0023/26-27,2026-04-29,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4818,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0024/26-27,2026-04-30,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,4858,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0024/26-27,MEPL/P0084/26-27,2026-04-23,,Mirha Exports Private limited,Freight and war risk,,,,,,,,13800.0,,,4898,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0054/26-27,MEPL/P0098/26-27,2026-04-28,,Mirha Exports Private limited,Freight and war risk,,,,,,,,13800.0,,,4902,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/2230/2025-26,MH/467/2026-27,2026-05-13,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4913,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/494/2026-27,2026-05-14,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4918,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/495/2026-27,2026-05-14,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4922,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/480/2026-27,2026-05-14,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4932,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/511/2026-27,2026-05-15,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4942,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/TQFM/NBU-01/2026,HMA/PI/053/2026-27,MH/449/2026-27,2026-05-11,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,4512.0,,,4948,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/TQFM/NBU-01/2026,HMA/PI/053/2026-27,MH/450/2026-27,2026-05-11,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,4512.0,,,4953,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0108/26-27,MEPL/P0159/26-27,2026-05-13,,Mirha Exports Private limited,Freight and war risk,,,,,,,,13200.0,,,4959,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/053/2026-27,MH/482/2026-27,2026-05-14,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,4996,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/053/2026-27,MH/541/2026-27,2026-05-16,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5033,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/053/2026-27,MH/539/2026-27,2026-05-16,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5192,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/053/2026-27,MH/658/2026-27,2026-05-27,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5226,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/137/2026-27,MH/669/2026-27,2026-06-01,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5238,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/677/2026-27,2026-06-01,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5288,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/025,PRO/ALS/0054/26-27,2026-05-22,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13200.0,,,5328,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/006,PRO/ALS/0025/26-27,2026-04-30,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13800.0,,,5368,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/679/2026-27,2026-06-02,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5384,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/681/2026-27,2026-06-02,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5389,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/692/2026-27,2026-06-05,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5393,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/710/2026-27,2026-06-02,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5401,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/757/2026-27,2026-06-11,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5438,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/775/2026-27,2026-06-13,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5475,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/776/2026-27,2026-06-13,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5512,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/715/2026-27,2026-06-08,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5549,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/740/2026-27,2026-06-09,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5586,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/754/2026-27,2026-06-11,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5623,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/758/2026-27,2026-06-11,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5660,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/778/2026-27,2026-06-13,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5697,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/800/2026-27,2026-06-15,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,5734,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/025,PRO/ALS/0058/26-27,2026-05-25,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,13200.0,,,5774,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/025,PRO/ALS/0062/26-27,2026-05-26,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,15900.0,,,5802,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/025,PRO/ALS/0066/26-27,2026-05-29,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,15900.0,,,5842,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0108/26-27,MEPL/P0246/26-27,2026-06-08,,Mirha Exports Private limited,Freight and war risk,,,,,,,,17100.0,,,5882,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
IN/MEAT03/2025,PRO/MEPL/0108/26-27,MEPL/P0248/26-27,2026-06-09,,Mirha Exports Private limited,Freight and war risk,,,,,,,,17100.0,,,5922,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/025,PRO/ALS/0069/26-27,2026-06-13,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,17100.0,,,5962,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/855/2026-27,2026-06-15,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6007,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/865/2026-27,2026-06-15,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6044,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/904/2026-27,2026-06-25,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6081,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/756/2026-27,2026-05-05,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6096,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/905/2026-27,2026-06-25,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6133,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/935/2026-27,2026-06-29,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6170,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
ALSMSA/MEAT11/2025,PRO/ALS/2026-27/032,PRO/ALS/0074/26-27,2026-06-18,,Al Super Frozen Food Private Limited,Freight and war risk,,,,,,,,17100.0,,,6224,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/PBW-05/2026,HMA/PI/240/2026-27,MH/949/2026-27,2026-07-01,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6690,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/945/2026-27,2026-06-30,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6727,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/189/2026-27,MH/954/2026-27,2026-07-01,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,15540.0,,,6764,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1028/2026-27,2026-07-08,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6801,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1037/2026-27,2026-07-10,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6838,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1069/2026-27,2026-07-14,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6875,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1096/2026-27,2026-07-15,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6912,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1110/2026-27,2026-07-16,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6949,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/1119/2026-27,2026-07-16,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,17220.0,,,6986,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/419/2026-27,MH/540/2026-27,2026-07-21,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,18900.0,,,7023,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
HMA/MEAT04/2025,HMA/PI/459/2026-27,MH/580/2026-27,2026-07-27,,HMA AGRO INDUSTRIES LIMITED,Freight and war risk,,,,,,,,18900.0,,,7099,SERVICE_LINE|NO_ARTICLE|NO_PRODUCT_NAME|NO_DOCS_PRICE|NO_AGREED_PRICE
