article,product_name,jargon,lines,item_code
41,TOPSIDE,ИЧКИ СОН,726,
42,THICK FLANK / knuckle,ЯБЛОЧКА,724,
44,SILVER SIDE,ТАШКИ СОН,723,
45,RUMP STEAK,КОРС,719,
65,BLADE,КУЛ,580,
15-17,NECK,БУЙИН,543,
105/106,FOREQUARTER / FQ ROLL,МАЙДА КИЙМА ГУШТ,533,
46,STRIPLOIN,КỸНТР ФИЛЕ,520,
67,CUBE ROLL,РИБАЙ,505,
64,CHUCK TENDER,КУЛ БУЙИН КИСМИ,483,
31,TENDERLOIN,ВЫРИЗКА,413,
63,CHUCK,КУЛ БУЙИН КИСМИ,407,
60/60A,SHIN SHANK,ГОЛЯШКА,226,
25,TONGUE,ТИЛ,46,
152,HEAD MEAT,КАЛЛА ГУШТ,26,
66,TRIMING,ОБРЕСКА,25,
172,Whole leg,Бутун сон,21,
,СОМ,#N/A,20,
61-62,BISKET PE & NE,ТУШ ГРУДИНКА,17,
34,Inner Cheek Meat,Чакак,15,
UKR/frozen,компенсированная четвертина,QUALITY,11,
UKR/frozen,компенсированная четвертина,FRESH DAIRY,7,
,Сыворотка,#N/A,5,
BEL/frozen,компенсированная четвертина,QUALITY,3,
19,FLANK,ШАПОК,3,
67,CHUCK / CUBE ROLL,РИБАЙ,2,
BEL/chilled,говядина четвертина,QUALITY,2,
31,TENDERLOIN,TENDERLOIN,2,
65,BLADE,BLADE,2,
5,LIVER,ЖИГАР,2,
,СЦМ,#N/A,1,
11,SLICE,Тилим гушт,1,
123,TRIMING 123 RIB MEAT,ОБРЕСКА,1,
5,LIVER,LIVER,1,
888888888,BELLY FAT,ЧАРВИ,1,
3,LUNGS,УПКА,1,
4,HEART,ЮРАК,1,
6,TAIL,ДУМ,1,
