item_code,item_name,stock_uom,item_group,products,custom_operator_role
OSMOS SUV,OSMOS SUV,Dona,Xom ashyo,"CM107, CM110, CM115, CM118, CM121, CM155, CM158, CM168, CM170, CM171, CM173, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
Pista yog'i,Pista yog'i,Dona,Xom ashyo,AE663,
R003,apelsin,Dona,Xom ashyo,CM107,
R005,Belarus suxoy,Dona,Xom ashyo,"CM115, CM168, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R007,chopak #1,Dona,Xom ashyo,"SE600, SE620, SE626",
R014,fistyashka pyure,Dona,Xom ashyo,CM173,
R023,jonni sahar,Dona,Xom ashyo,CM118,
R024,kakao gollandiya,Dona,Xom ashyo,"CM115, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R026,kakao turkiya,Dona,Xom ashyo,"CM115, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R029,kivi,Dona,Xom ashyo,CM107,
R031,kokos yogi,Dona,Xom ashyo,"CM110, CM118, CM121, CM155, CM158, CM168, CM171, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R037,limon kislota,Dona,Xom ashyo,"CM171, JEM KLUBNIKA",
R040,malteks,Dona,Xom ashyo,"CM107, CM110, CM118, CM121, CM155, CM158, CM170",
R043,maslo sliv rash milk,Dona,Xom ashyo,"CM115, CM121, CM155, CM168, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R044,meva dori,Dona,Xom ashyo,CM107,
R047,oq moloko,Dona,Xom ashyo,AE661,
R049,palsgard dori,Dona,Xom ashyo,"CM107, CM110, CM115, CM118, CM121, CM155, CM158, CM168, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R053,PASTA shokolad,Dona,Xom ashyo,AE663,
R054,patka,Dona,Xom ashyo,"CM107, CM118",
R056,pektin dori,Dona,Xom ashyo,JEM KLUBNIKA,
R059,qaymoq,Dona,Xom ashyo,"CM115, CM170",
R060,Qirgiz suxoy,Dona,Xom ashyo,"CM110, CM121, CM155, CM158",
R064,qulupnay,Dona,Xom ashyo,JEM KLUBNIKA,
R066,rang,Dona,Xom ashyo,"CM158, Smes NONLI STAKAN choco",
R067,rus moloko,Dona,Xom ashyo,"CM115, CM121, CM170",
R068,rus shakar (saxaroza),Dona,Xom ashyo,"CM110, CM118, CM155, CM158, CM170",
R073,shakar,Dona,Xom ashyo,"CM107, CM110, CM115, CM118, CM121, CM155, CM158, CM168, CM170, CM171, CM173, JEM KLUBNIKA, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R081,shokolad gold,Dona,Xom ashyo,SE620,
R086,sivorotka,Dona,Xom ashyo,"CM118, CM121",
R087,SKOCH,Dona,Xom ashyo,"AE661, AE662, AE663, AE664, SE600, SE620, SE626, SE695",
R095,suxoy rash milk,Dona,Xom ashyo,CM118,
R096,vafli rojok,Dona,Xom ashyo,SE695,
R097,vanelin,Dona,Xom ashyo,"CM110, CM115, CM121, CM155, CM158, CM168, CM170, Smes NONLI STAKAN, Smes NONLI STAKAN choco",
R099,varyonniy moloko,Dona,Xom ashyo,"AE661, CM118",
R188,Nutella,Kg,Xom ashyo,AT129,
R194,Anjan vafli kichik,Dona,Xom ashyo,"AE661, AE662, AE663, AE664",
R195,Anjan orginal kulubnika 70gr,Kg,Xom ashyo,AE662,
R204,Rash milk suxoy,Kg,Xom ashyo,"CM118, CM121, CM155, CM158, CM168, CM170, CM171",
R207,Flex ice mix,Kg,Xom ashyo,CM173,
R212,kokos zamintl,Kg,Xom ashyo,"CM110, CM155, CM158",
R240,Denays 551 dori,Kg,Xom ashyo,CM170,
R248,Palsigart G24,Kg,Xom ashyo,CM171,
R275,LACTOS PECHENI,Dona,Xom ashyo,AT129,
r217,Kakao Powder,Kg,Xom ashyo,CM158,
CM110,Smes Arzon shokolad,Kg,Yarim tayyor,SE620,
CM115,Smes Bochka choko,Kg,Yarim tayyor,AE663,
CM118,Smes eskimo sgushonka,Kg,Yarim tayyor,"SE626, SE695",
CM159,Smes Arzon shokolad QULUPNAY,Kg,Yarim tayyor,SE620,
CM165,Smes NONLI STAKAN ANANAS,Dona,Yarim tayyor,AE664,
CM170,Smes Arzon sut,Dona,Yarim tayyor,SE600,
JEM KLUBNIKA,JEM KLUBNIKA,Kg,Yarim tayyor,"AE662, CM107",
Smes NONLI STAKAN,Smes NONLI STAKAN,Kg,Yarim tayyor,"AE661, AE662",
Smes NONLI STAKAN choco,Smes NONLI STAKAN choco,Dona,Yarim tayyor,AE663,
jem ananas,jem ananas,Kg,Yarim tayyor,AE664,
smes Tv Nutella,smes Tv Nutella,Kg,Yarim tayyor,AT129,
smes Tv PECHONIY,smes Tv PECHONIY,Kg,Yarim tayyor,AT129,
E003,essen dohler apelsin,Dona,Essensiya,"CM107, CM171",
E004,essen dohler kivi 2.00786.101,Dona,Essensiya,CM107,
E007,essen esarom burbon (913749),Dona,Essensiya,CM155,
E011,essen esarom klubnika (910302),Dona,Essensiya,"CM107, JEM KLUBNIKA",
E015,essen esarom plombir (914323),Dona,Essensiya,"CM121, Smes NONLI STAKAN",
E017,essen esarom sgushenka (914312),Dona,Essensiya,"CM110, CM121, CM155, Smes NONLI STAKAN",
E019,essen esarom slivichniy (912311,Dona,Essensiya,"CM110, CM121, CM155, Smes NONLI STAKAN",
E020,essen esarom slivka2 (934311),Dona,Essensiya,"CM110, CM170",
E044,essen esarom ananas,Kg,Essensiya,CM168,
E045,emul esarom ananas,Kg,Essensiya,CM168,
P019,etiketka eskimo sgushonka,Dona,Etiketka,SE626,
P024,etiketka golden klubnika,Dona,Etiketka,SE620,
P085,etiketka surpriz nakleyka oq(st.sht kod),Dona,Etiketka,SE695,
P087,etiketka sut qogoz,Dona,Etiketka,SE600,
R199,anjan orjinal sgushonka 70gr,Kg,Etiketka,AE661,
R200,Anjan orginal ananas70gr,Kg,Etiketka,AE664,
R201,Anjan orginal choko 70gr,Kg,Etiketka,AE663,
R244,Rojok Lubimiy qogoz,Kg,Etiketka,SE695,
R273,Sut qogoz sariq,Kg,Etiketka,SE600,
P111,korobka Anjan kraft,Dona,Korobka,"AE661, AE662, AE663, AE664",
P114,korobka barhat kraft,Dona,Korobka,SE600,
P131,korobka rojok kraft,Dona,Korobka,SE695,
P134,korobka SNIKERS,Dona,Korobka,"SE620, SE626",
P135,korobka sutli,Dona,Korobka,SE600,
R222,Anjan kraft kichik ,Dona,Korobka,"AE661, AE662, AE663, AE664",
